1  number of sets, Nset
-----------------
#1  Blade structural data for HAWC2/HAWCStab2
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
arc                       m_pm                      x_cg                      y_cg                      ri_x                      ri_y                      theta_s                   x_ec                      y_ec                      K_11                      K_12                      K_13                      K_14                      K_15                      K_16                      K_22                      K_23                      K_24                      K_25                      K_26                      K_33                      K_34                      K_35                      K_36                      K_44                      K_45                      K_46                      K_55                      K_56                      K_66                      
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
$1  83 Flexible
1.999900000000E+01        4.736037523010E+02        2.568120717183E-01        -4.201620523638E-03       7.699981235906E-01        1.514977021505E+00        -6.268223478853E+00       4.761552652885E-01        -2.216839415923E-02       9.278500324797E+08        -6.254296834862E+06       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -8.712576703643E+06       4.837207821983E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.564323689842E+08        7.728012987340E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.843454528892E+09        1.197244549879E-03        0.000000000000E+00        8.911926585445E+09        0.000000000000E+00        7.297363013896E+08       
2.110400000000E+01        4.411186418850E+02        2.298875046896E-01        -9.753151234768E-04       7.361921056746E-01        1.486075469305E+00        -5.802632159934E+00       4.690441182740E-01        -2.033042559396E-02       8.931748336909E+08        1.222192326709E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -3.084543269933E+06       3.940457591931E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.260943018283E+08        7.655180842610E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.664142296875E+09        -7.632390219772E-05       0.000000000000E+00        8.197930189060E+09        0.000000000000E+00        6.263689276164E+08       
2.194700000000E+01        4.276267232310E+02        2.281898713603E-01        3.768571433524E-04        7.090550650246E-01        1.448687250760E+00        -5.582339278064E+00       4.698803810829E-01        -1.942631334558E-02       8.571603879912E+08        1.189271868973E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -2.589784713308E+06       3.734629334668E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.172443953424E+08        7.641021810180E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.548652294582E+09        1.302414039086E-05        0.000000000000E+00        7.652915210573E+09        0.000000000000E+00        5.577084953822E+08       
2.299900000000E+01        4.157671006190E+02        2.255461907640E-01        1.905229872214E-03        6.747109894606E-01        1.402756903367E+00        -5.206084116409E+00       4.700551247551E-01        -1.810918068097E-02       8.275456412356E+08        1.428300626898E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -8.279144262717E+06       3.483358483764E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.183004277308E+08        7.676665448100E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.415044096450E+09        2.759011676247E-05        0.000000000000E+00        7.072075981844E+09        0.000000000000E+00        4.854058737975E+08       
2.389900000000E+01        4.029892597910E+02        2.244376032160E-01        2.825355936832E-03        6.484758200161E-01        1.365723313782E+00        -4.936633787334E+00       4.692199266774E-01        -1.754743365912E-02       7.932684041022E+08        1.310952906702E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -6.667698244525E+06       3.298487636348E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.093553114050E+08        7.662520069830E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.310262152022E+09        -1.124569616536E-03       0.000000000000E+00        6.594161407539E+09        0.000000000000E+00        4.304370539462E+08       
2.499900000000E+01        4.151835982390E+02        1.405877935457E-01        3.012536625905E-02        6.064281852746E-01        1.338452696855E+00        -5.301371063475E+00       4.272174597985E-01        -5.811497934412E-03       8.453751325571E+08        5.858157386926E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -7.642122269498E+07       3.316057717769E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        6.567245553969E+07        7.860669771230E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.197373741330E+09        -1.332935858876E-05       0.000000000000E+00        6.471972101558E+09        0.000000000000E+00        3.954562458766E+08       
2.594700000000E+01        4.048986988340E+02        1.401638634336E-01        3.003043468827E-02        5.819711880214E-01        1.301893027016E+00        -5.031661396849E+00       4.259904686975E-01        -5.974408953099E-03       8.151873544673E+08        5.652170132880E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -7.195707444994E+07       3.147380991987E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        6.079280846026E+07        7.882926280410E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.109942997448E+09        6.059388330436E-05        0.000000000000E+00        6.057018765804E+09        0.000000000000E+00        3.517242801396E+08       
2.710000000000E+01        3.906223394910E+02        1.431164169503E-01        2.891283652547E-02        5.529803459257E-01        1.256726734547E+00        -4.663507582395E+00       4.248389953860E-01        -6.571028481206E-03       7.762028169179E+08        5.241663261584E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -6.484453842093E+07       2.937455752981E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.606578076398E+07        7.885118305740E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.005561766618E+09        1.374473347594E-05        0.000000000000E+00        5.561783093361E+09        0.000000000000E+00        3.027725995499E+08       
2.800000000000E+01        3.826712455170E+02        1.466207193441E-01        2.726580146126E-02        5.331752340900E-01        1.224663160289E+00        -4.364913246343E+00       4.240143145589E-01        -7.231599008485E-03       7.549970238994E+08        4.875913124404E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -5.888251594846E+07       2.805831705776E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.396093619112E+07        7.928112305070E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        9.404211863571E+08        1.851874825475E-05        0.000000000000E+00        5.252941387329E+09        0.000000000000E+00        2.739321405885E+08       
2.899900000000E+01        3.656691701010E+02        1.685729867037E-01        2.587255720338E-02        5.145256992205E-01        1.182851730508E+00        -4.104018228320E+00       4.272755695503E-01        -7.840049275176E-03       7.217379317317E+08        4.565854575584E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -5.367882485136E+07       2.416182620863E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        7.878894519584E+07        7.910487698320E+09        -7.431475566836E-09       -5.332186519341E-10       0.000000000000E+00        8.657060194899E+08        -6.085701007295E-05       0.000000000000E+00        4.848616837161E+09        0.000000000000E+00        2.410777077132E+08       
2.989900000000E+01        3.570297435590E+02        1.681617845685E-01        2.528914697811E-02        4.970693574982E-01        1.154882537526E+00        -3.883070253654E+00       4.249178126781E-01        -8.160664565760E-03       6.948109463117E+08        4.184474712853E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -4.826828465075E+07       2.203117236453E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        9.149161677686E+07        7.921078393740E+09        7.433476540653E-09        5.045569847076E-10        0.000000000000E+00        8.103762474807E+08        6.235870090929E-06        0.000000000000E+00        4.578531737711E+09        0.000000000000E+00        2.179616490859E+08       
3.100000000000E+01        3.520385569620E+02        1.418212109567E-01        2.322964697635E-02        4.725967436262E-01        1.137689943782E+00        -3.260484133324E+00       3.958284414093E-01        -8.481488759129E-03       6.892525874863E+08        4.214269501853E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -5.107759092305E+07       2.250913488977E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        6.278928924639E+07        7.950738745060E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        7.372241771754E+08        1.447463308056E-06        0.000000000000E+00        4.555761638283E+09        0.000000000000E+00        1.962008017409E+08       
3.200000000000E+01        3.413540861790E+02        1.414153596339E-01        2.229913352231E-02        4.557042457308E-01        1.111368152289E+00        -3.045501402519E+00       3.913388929447E-01        -8.606565347651E-03       6.621634198366E+08        3.897866808956E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -4.635810814954E+07       2.139718286174E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.997319813167E+07        7.847301004870E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        6.776352550952E+08        2.526532188120E-06        0.000000000000E+00        4.265474254456E+09        0.000000000000E+00        1.758925954484E+08       
3.300000000000E+01        3.347818240040E+02        1.387831742480E-01        2.169110451051E-02        4.384790820269E-01        1.085207840061E+00        -2.826906246989E+00       3.847175747617E-01        -8.426537885204E-03       6.483733594413E+08        3.704503457650E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -4.317166593944E+07       2.050072704287E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.811628911581E+07        7.802196155320E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        6.242438892010E+08        -5.404725258914E-06       0.000000000000E+00        4.034428056592E+09        0.000000000000E+00        1.600395017050E+08       
3.410000000000E+01        3.228815885410E+02        1.305682276890E-01        2.680008325353E-02        4.199357967910E-01        1.063904787272E+00        -2.548201367740E+00       3.772735441297E-01        -4.735227313343E-03       6.073677832063E+08        3.107480811695E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -4.835545457409E+07       1.945966416257E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.325542986256E+07        7.667563889360E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.679499111305E+08        1.566037452319E-06        0.000000000000E+00        3.774377475412E+09        0.000000000000E+00        1.417231541656E+08       
3.500000000000E+01        3.138031113650E+02        1.268804528040E-01        2.652979705257E-02        4.063310799325E-01        1.044025999941E+00        -2.435281029565E+00       3.732175783340E-01        -4.659786071727E-03       5.800561467839E+08        2.999583987402E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -4.593750975570E+07       1.854103337151E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        4.983536583823E+07        7.585594297400E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.278618893653E+08        4.430117302357E-07        0.000000000000E+00        3.562418405850E+09        0.000000000000E+00        1.272241663482E+08       
3.600000000000E+01        3.092197504290E+02        1.220865672300E-01        2.685339879435E-02        3.927911507198E-01        1.023390903721E+00        -2.309685297930E+00       3.658579098084E-01        -3.364579895743E-03       5.721751637846E+08        2.915244366387E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -4.451661891911E+07       1.789565468504E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        4.696772799643E+07        7.559300591310E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        4.912094617687E+08        -4.446479039650E-07       0.000000000000E+00        3.407202186889E+09        0.000000000000E+00        1.173775360231E+08       
3.696400000000E+01        2.833791368500E+02        1.293122577559E-01        2.402381797466E-02        3.838936785735E-01        9.984697605865E-01        -2.218899814249E+00       3.667167843220E-01        -3.068629377897E-03       5.409556397256E+08        2.674021349679E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -4.135915971802E+07       1.659659997364E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        4.340206648783E+07        7.401648730310E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        4.530436679684E+08        3.732299973545E-07        0.000000000000E+00        3.143881542652E+09        0.000000000000E+00        1.029495193134E+08       
3.803500000000E+01        2.784678669660E+02        1.273532667912E-01        2.411365279126E-02        3.711128195747E-01        9.772585975106E-01        -2.148043294354E+00       3.622927048402E-01        -1.921746324308E-03       5.314722725748E+08        2.609629403934E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -4.011805390889E+07       1.604703236822E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.947670268183E+07        7.366257614150E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        4.210522964716E+08        1.093592574497E-07        0.000000000000E+00        2.975593484058E+09        0.000000000000E+00        9.448863371564E+07       
3.900000000000E+01        2.714744142330E+02        1.256050082725E-01        2.441093122327E-02        3.596963397232E-01        9.587398042214E-01        -2.093832417689E+00       3.590489875290E-01        -8.943807421701E-04       5.137229371144E+08        2.512650958770E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -3.863368347609E+07       1.535780961526E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.643316412353E+07        7.291879857560E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.917481916795E+08        -5.251628817560E-07       0.000000000000E+00        2.808573716752E+09        0.000000000000E+00        8.586057144592E+07       
4.000000000000E+01        2.675664477020E+02        1.245543041578E-01        2.469941339222E-02        3.487961559162E-01        9.400960226991E-01        -2.059271805268E+00       3.551879186043E-01        1.596948004035E-04        5.059698409551E+08        2.445617231349E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -3.740596066481E+07       1.483319163749E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.480746993548E+07        7.265392659300E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.667551480384E+08        1.920927686050E-07        0.000000000000E+00        2.672292235889E+09        0.000000000000E+00        7.964411000536E+07       
4.096400000000E+01        2.582348417300E+02        1.204857593397E-01        2.545212936294E-02        3.378467273839E-01        9.239316435524E-01        -1.919278091859E+00       3.474641030379E-01        3.402827379698E-03        4.893442435299E+08        2.243930440615E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -3.466743405632E+07       1.416786496861E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.308391055990E+07        7.017927747960E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.329093083381E+08        8.072344731245E-08        0.000000000000E+00        2.497517616861E+09        0.000000000000E+00        7.247551471340E+07       
4.203500000000E+01        2.486490888060E+02        1.168930003294E-01        2.575840507454E-02        3.266455507762E-01        9.068097627788E-01        -1.895538652199E+00       3.413573175605E-01        4.657700186164E-03        4.693777030861E+08        2.175341961495E+07        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -3.366854380713E+07       1.347831590309E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.049101911372E+07        6.778963937780E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.009032109236E+08        -3.326287689558E-07       0.000000000000E+00        2.323080960845E+09        0.000000000000E+00        6.509542140503E+07       
